City,Year,Fuel Type,Transmission,Price_PKR,Mileage_km,Engine_cc,Brand,Model,Variant,Car_Age,log_price
Karachi,1998,Petrol,Manual,1265000.0,165000,1300.0,Toyota,Corolla,8th (E110) Generation XE,28,14.05058347065728
Lahore,2021,Petrol,Automatic,4050000.0,85000,1300.0,Toyota,Yaris,Sedan GLI CVT 1.3,5,15.214227685996272
Lahore,2007,Petrol,Manual,1100000.0,282000,1300.0,Suzuki,Liana,RXi,19,13.910821646859095
Lahore,2002,Petrol,Manual,1200000.0,90000,1300.0,Honda,City,EXi,24,13.997832948091215
Karachi,2009,Petrol,Automatic,2300000.0,195000,1300.0,Honda,City,5th (GM2) Generation 1.3 i-VTEC Prosmatec,17,14.648420115681892
Karachi,2007,Petrol,Automatic,3100000.0,116000,1300.0,Toyota,IST,,19,14.946912992035967
Karachi,2020,Petrol,Automatic,4175000.0,41700,1300.0,Toyota,Yaris,Sedan ATIV CVT 1.3,6,15.244625155788022
Islamabad,2016,Petrol,Manual,3529999.9999999995,84000,1300.0,Honda,City,1.3 i-VTEC,10,15.076808712195557
Lahore,1993,Petrol,Manual,420000.0,123457,1300.0,Suzuki,Khyber,,33,12.948012371209098
Islamabad,1973,Petrol,Manual,400000.0,282000,1300.0,Toyota,Corolla,,53,12.899222326086994
Islamabad,2017,Petrol,Automatic,3700000.0,107000,1300.0,Toyota,Corolla,GLi Automatic 1.3 VVTi,9,15.123843647884687
Karachi,1998,Petrol,Manual,830000.0000000001,200000,1300.0,Honda,City,EXi,28,13.629182184591333
Karachi,1993,Petrol,Manual,380000.0,282000,1300.0,Suzuki,Margalla,GL,33,12.847929163278053
Karachi,2009,Hybrid,Automatic,2400000.0,119000,1300.0,Honda,Insight,HDD Navi Special Edition,17,14.690979711984754
Lahore,1999,Petrol,Manual,840000.0,282000,1300.0,Honda,City,EXi,27,13.641158361294979
Islamabad,1986,CNG,Manual,780000.0,70000,1300.0,Toyota,86,,40,13.567050480716235
Karachi,2019,Petrol,Manual,3500000.0,40000,1300.0,Honda,City,5th (GM2) Generation 1.3 i-VTEC,7,15.068273812173887
Lahore,2006,Petrol,Manual,1850000.0,11111,1300.0,Honda,City,i-DSI,20,14.430696737594902
Karachi,2025,Petrol,Automatic,5050000.0,2400,1300.0,Toyota,Yaris,Sedan GLI CVT 1.3,1,15.434898999271326
Islamabad,2014,Petrol,Manual,3600000.0,91000,1300.0,Honda,City,5th (GM2) Generation 1.3 i-VTEC,12,15.096444681204078
Islamabad,2013,Petrol,Manual,2450000.0,121000,1300.0,Suzuki,Swift,DLX 1.3,13,14.711598990684092
Karachi,2015,Petrol,Manual,1950000.0,116000,1300.0,Suzuki,Swift,DLX 1.3,11,14.48334044336031
Karachi,2013,Petrol,Manual,2440000.0,81000,1300.0,Honda,City,1.3 i-VTEC,13,14.707509007105367
